avg_rating,helpful,model,product,q_and_a,rating,recommended,skuId,total_reviews,unhelpful,user
4.7,0,SMG960UZPV,Samsung - Galaxy S9 64GB - Lilac Purple (Verizon),122,5,97%,6191413,2499,0,BestBuyHandDryer4Life
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,4,98%,6327004,237,0,GigiMac
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,4,98%,6327004,237,0,TSreviews
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,4,98%,6327004,237,0,Jay5150
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,Chuckdaddy
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,SKDenver
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,3,98%,6327004,237,0,Lara
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,3,98%,6327004,237,0,Everyman
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,J2theA
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,NWIllinoisian
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,4,98%,6327004,237,0,Keito
4.8,1,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,Sarah
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,CB4Life
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,BJHeeler
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,Bmed
4.8,1,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,JoeyD
4.8,3,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,IndyW
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,Theo
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,Beenheredonethat
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,4,98%,6327004,237,0,Chuck
4.8,0,SMG973UZBV,Samsung - Galaxy S10 with 128GB Memory Cell Phone - Prism Blue (Verizon),10,5,98%,6327004,237,0,Bea2623a
4.7,18,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,0,BBJS
4.7,23,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,0,Daboosh
4.7,24,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,4,97%,6251805,2499,5,JHoffman02
4.7,0,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,2,97%,6251805,2499,0,Ntmd8or
4.7,0,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,4,97%,6251805,2499,0,Reviewname
4.7,2,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,0,cgNY
4.7,0,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,4,97%,6251805,2499,0,Tg25
4.7,0,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,0,rcrumb
4.7,18,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,2,97%,6251805,2499,66,ceponatia
4.7,8,SMG960UZDV,Samsung - Galaxy S9 64GB - Sunrise Gold (Verizon),122,5,97%,6251805,2499,1,NancyM
